hour,day_of_week,is_weekend,is_rural,is_peak,distance_km,rain_factor,crowd_level,delay_minutes,eta_minutes
3,2,0,1,0,4.22,0.14,LOW,3.6,7.6
5,0,0,1,0,5.02,0.13,LOW,3.3,6.0
18,5,1,1,1,5.59,0.14,HIGH,17.6,18.8
5,2,0,1,0,7.13,0.23,LOW,2.7,11.4
1,6,1,0,0,6.26,0.48,LOW,5.8,9.8
17,2,0,1,1,4.82,0.11,HIGH,17.8,10.3
12,6,1,0,0,6.68,0.19,LOW,6.1,9.5
8,0,0,0,1,7.9,0.1,MEDIUM,13.4,15.3
22,5,1,0,0,2.75,0.32,LOW,4.5,2.3
18,2,0,0,1,1.39,0.3,MEDIUM,12.6,3.7
12,6,1,0,0,5.99,0.05,LOW,2.8,8.0
10,5,1,0,1,7.84,0.3,MEDIUM,14.1,17.6
0,3,0,1,0,1.38,0.32,LOW,3.0,3.9
23,3,0,1,0,3.74,0.64,LOW,8.2,6.6
21,3,0,0,0,0.97,0.55,LOW,4.4,0.7
6,4,0,1,0,6.32,0.06,LOW,4.6,7.8
20,2,0,0,0,7.62,0.33,LOW,6.3,11.5
14,0,0,0,1,4.24,0.46,HIGH,15.5,8.8
0,0,0,1,0,3.57,0.48,LOW,7.1,5.6
11,4,0,0,0,7.31,0.22,LOW,5.2,11.8
6,0,0,1,0,1.5,0.13,LOW,8.1,3.5
14,6,1,1,1,7.19,0.13,HIGH,13.1,25.8
20,3,0,1,0,3.44,0.5,MEDIUM,8.7,4.9
18,2,0,1,1,4.7,0.24,MEDIUM,20.0,12.1
0,0,0,1,0,4.46,0.02,LOW,2.4,5.4
16,0,0,1,1,5.12,0.62,MEDIUM,20.6,17.5
16,1,0,1,1,7.57,0.39,HIGH,20.7,20.3
2,1,0,0,0,7.63,0.43,LOW,5.5,11.9
11,1,0,1,0,6.73,0.27,LOW,4.4,9.3
5,2,0,1,0,1.94,0.21,LOW,2.7,3.3
10,3,0,1,1,3.0,0.08,MEDIUM,20.1,5.8
2,5,1,0,0,4.16,0.19,LOW,6.7,6.6
7,3,0,0,1,7.29,0.3,HIGH,10.9,14.9
13,3,0,1,0,4.41,0.07,MEDIUM,5.0,7.0
13,2,0,1,0,7.83,0.1,MEDIUM,3.2,11.8
9,6,1,0,1,7.88,0.32,MEDIUM,9.9,17.0
1,6,1,1,0,4.99,0.19,LOW,9.9,6.8
13,2,0,1,0,7.08,0.31,LOW,3.1,10.2
8,1,0,1,1,7.99,0.14,HIGH,15.1,21.8
2,0,0,1,0,6.87,0.45,LOW,5.3,11.7
20,4,0,0,0,5.43,0.1,LOW,2.7,6.1
7,4,0,1,1,6.84,0.03,HIGH,15.1,13.1
15,5,1,1,1,1.12,0.47,HIGH,20.0,2.1
1,0,0,1,0,5.26,0.28,MEDIUM,4.2,7.5
5,5,1,0,0,2.12,0.17,LOW,5.3,1.6
20,1,0,0,0,1.37,0.49,LOW,6.3,3.4
11,5,1,0,0,7.2,0.33,LOW,2.6,10.2
4,0,0,1,0,5.3,0.21,LOW,5.3,7.9
1,0,0,1,0,2.33,0.62,LOW,6.5,3.2
15,4,0,0,1,3.4,0.28,HIGH,9.1,7.5
4,6,1,1,0,7.8,0.13,LOW,1.4,10.1
14,1,0,0,1,6.97,0.14,MEDIUM,13.5,16.9
11,2,0,1,0,0.62,0.53,LOW,11.1,2.3
3,5,1,1,0,7.85,0.28,LOW,5.0,15.7
14,4,0,1,1,3.26,0.12,HIGH,9.6,7.3
10,5,1,0,1,5.72,0.29,MEDIUM,13.6,14.0
15,5,1,0,1,5.85,0.52,HIGH,11.0,9.5
22,2,0,1,0,7.34,0.16,LOW,3.1,10.7
5,1,0,1,0,7.14,0.04,LOW,7.0,10.8
13,0,0,0,0,2.61,0.28,LOW,3.2,2.9
17,3,0,1,1,5.33,0.29,HIGH,17.7,13.3
11,5,1,0,0,3.45,0.4,LOW,5.3,4.7
10,3,0,1,1,4.44,0.31,HIGH,17.4,11.3
12,1,0,1,0,4.66,0.43,LOW,2.2,8.2
20,3,0,1,0,3.47,0.23,LOW,4.9,4.7
22,5,1,1,0,3.98,0.36,LOW,7.7,8.1
10,2,0,1,1,2.06,0.37,HIGH,14.6,6.2
22,3,0,1,0,5.06,0.29,LOW,7.3,4.7
15,1,0,1,1,6.19,0.45,HIGH,15.8,16.3
14,1,0,1,1,3.72,0.42,HIGH,19.5,8.4
20,6,1,1,0,7.83,0.4,LOW,3.8,11.0
14,6,1,0,1,0.93,0.29,HIGH,10.6,2.4
3,2,0,1,0,4.92,0.4,LOW,6.7,9.7
10,3,0,1,1,4.88,0.03,HIGH,16.1,9.0
18,3,0,1,1,0.77,0.29,HIGH,13.8,1.8
14,6,1,1,1,2.18,0.26,HIGH,18.5,5.8
3,0,0,0,0,7.29,0.25,LOW,1.9,12.1
20,4,0,1,0,4.58,0.09,LOW,2.6,7.2
12,1,0,0,0,3.77,0.5,LOW,6.4,5.5
21,0,0,1,0,3.62,0.26,LOW,3.0,4.5
18,1,0,1,1,7.16,0.33,HIGH,18.7,20.2
1,0,0,1,0,3.25,0.23,LOW,5.6,6.3
13,6,1,0,0,6.94,0.4,LOW,5.4,10.3
3,6,1,0,0,2.82,0.16,LOW,0.0,2.3
15,4,0,1,1,4.49,0.3,HIGH,19.3,13.0
20,0,0,0,0,1.58,0.03,MEDIUM,3.4,2.5
19,1,0,1,1,6.69,0.23,MEDIUM,15.4,17.4
13,3,0,0,0,6.02,0.04,LOW,3.4,8.0
14,1,0,1,1,4.48,0.31,HIGH,18.9,15.0
2,5,1,1,0,0.69,0.11,LOW,4.4,2.5
7,6,1,1,1,4.11,0.42,HIGH,18.1,9.8
15,2,0,0,1,2.19,0.06,MEDIUM,8.2,7.6
9,2,0,0,1,3.6,0.28,HIGH,9.3,8.0
3,6,1,0,0,6.92,0.04,LOW,2.8,7.1
17,5,1,0,1,6.27,0.4,LOW,14.6,13.7
1,2,0,1,0,2.31,0.45,MEDIUM,8.0,3.1
16,6,1,0,1,7.89,0.16,HIGH,15.0,13.2
12,2,0,0,0,7.27,0.32,LOW,9.4,11.2
3,6,1,1,0,4.47,0.08,LOW,3.0,7.2
10,4,0,1,1,4.48,0.11,MEDIUM,16.5,17.3
6,3,0,1,0,7.26,0.48,LOW,6.3,13.4
11,3,0,0,0,5.27,0.26,LOW,3.5,7.6
9,1,0,0,1,4.53,0.3,HIGH,15.1,8.5
6,5,1,0,0,6.12,0.16,LOW,5.7,6.7
12,6,1,0,0,2.26,0.29,LOW,4.4,3.7
6,0,0,0,0,7.09,0.17,LOW,2.2,11.2
23,1,0,0,0,4.49,0.39,LOW,3.0,5.9
16,1,0,0,1,5.03,0.42,MEDIUM,12.1,10.5
9,6,1,1,1,1.17,0.04,HIGH,15.9,4.5
9,6,1,1,1,2.82,0.26,HIGH,15.3,7.8
23,1,0,1,0,3.7,0.17,LOW,4.5,6.8
3,1,0,0,0,3.6,0.22,LOW,3.6,5.3
19,3,0,1,1,6.34,0.55,HIGH,17.8,24.4
3,0,0,1,0,2.62,0.43,LOW,6.4,4.1
21,1,0,1,0,1.87,0.28,LOW,4.4,0.6
6,3,0,1,0,4.87,0.36,LOW,2.9,9.3
21,1,0,1,0,5.11,0.05,LOW,2.3,7.5
0,2,0,1,0,1.41,0.49,LOW,7.3,1.9
11,1,0,1,0,0.52,0.3,LOW,5.4,0.5
23,6,1,1,0,7.38,0.09,LOW,3.7,11.9
12,5,1,1,0,1.1,0.12,LOW,3.3,0.9
9,5,1,1,1,7.23,0.53,HIGH,16.5,29.9
14,1,0,1,1,3.49,0.37,HIGH,14.3,7.8
12,4,0,1,0,5.4,0.37,LOW,5.9,9.2
22,2,0,1,0,1.89,0.24,LOW,4.1,2.1
21,0,0,1,0,6.68,0.42,LOW,6.0,10.6
21,1,0,0,0,1.85,0.22,LOW,6.1,3.1
20,0,0,1,0,3.4,0.2,LOW,2.1,7.0
21,2,0,1,0,2.29,0.02,LOW,0.0,3.1
8,1,0,1,1,6.78,0.52,HIGH,19.2,19.6
8,4,0,1,1,6.94,0.28,HIGH,19.4,21.4
14,3,0,1,1,3.29,0.05,HIGH,15.0,7.5
9,4,0,1,1,2.81,0.22,HIGH,16.1,8.8
23,6,1,1,0,6.3,0.4,LOW,4.6,11.3
9,4,0,1,1,7.09,0.33,HIGH,18.1,19.9
7,3,0,1,1,5.18,0.01,HIGH,12.6,12.3
23,6,1,0,0,7.46,0.09,LOW,6.1,9.8
15,3,0,1,1,3.37,0.29,HIGH,17.0,9.6
16,5,1,0,1,1.64,0.52,HIGH,13.6,2.2
4,3,0,1,0,1.85,0.49,LOW,4.8,3.4
3,1,0,1,0,5.52,0.5,LOW,7.8,8.9
17,0,0,1,1,3.56,0.37,HIGH,16.8,10.5
23,5,1,0,0,1.67,0.13,LOW,6.7,2.8
18,5,1,1,1,2.69,0.03,MEDIUM,16.8,4.9
3,0,0,1,0,4.48,0.1,LOW,6.2,7.3
6,5,1,1,0,1.41,0.34,LOW,4.6,2.4
9,3,0,1,1,0.53,0.17,HIGH,17.1,1.1
17,4,0,0,1,7.38,0.36,MEDIUM,13.6,15.0
18,2,0,1,1,2.79,0.14,HIGH,15.3,7.0
3,3,0,1,0,2.16,0.41,LOW,3.4,3.0
9,6,1,1,1,5.74,0.44,HIGH,22.1,13.2
0,6,1,1,0,6.9,0.18,LOW,3.0,11.3
22,4,0,1,0,5.24,0.27,LOW,6.0,8.3
17,4,0,1,1,2.41,0.11,HIGH,17.9,7.0
4,5,1,1,0,6.96,0.14,LOW,2.4,9.6
14,1,0,0,1,4.33,0.24,HIGH,9.8,9.8
16,1,0,1,1,3.36,0.11,HIGH,16.5,8.2
2,5,1,0,0,5.04,0.26,LOW,3.7,6.4
11,5,1,1,0,5.75,0.22,LOW,2.8,7.1
1,0,0,1,0,4.95,0.1,LOW,2.5,8.1
0,0,0,1,0,7.4,0.03,LOW,3.9,10.6
22,2,0,0,0,5.21,0.11,LOW,0.6,6.5
20,2,0,1,0,7.09,0.15,LOW,3.5,10.7
16,2,0,1,1,4.9,0.18,HIGH,13.7,13.7
21,2,0,1,0,2.97,0.15,LOW,6.7,5.5
15,4,0,0,1,4.49,0.1,MEDIUM,11.3,8.6
4,4,0,1,0,1.15,0.27,LOW,7.0,1.8
14,0,0,1,1,2.23,0.15,HIGH,17.9,5.5
2,1,0,1,0,6.25,0.22,LOW,4.5,9.4
6,5,1,0,0,5.46,0.24,LOW,5.8,8.5
10,6,1,0,1,1.75,0.42,MEDIUM,14.7,3.4
9,1,0,1,1,3.79,0.31,HIGH,18.9,11.8
8,3,0,1,1,1.56,0.31,HIGH,16.7,4.6
13,4,0,0,0,6.92,0.08,LOW,4.0,8.5
12,2,0,0,0,1.32,0.19,LOW,2.1,1.3
1,2,0,1,0,5.41,0.24,LOW,2.7,10.9
2,3,0,0,0,5.05,0.38,LOW,6.5,8.2
6,1,0,1,0,4.05,0.27,LOW,5.6,6.6
20,2,0,1,0,2.59,0.33,LOW,3.2,3.4
17,1,0,0,1,3.53,0.35,MEDIUM,13.2,9.5
2,5,1,1,0,6.55,0.15,LOW,1.4,10.7
9,3,0,0,1,6.21,0.29,MEDIUM,9.9,10.4
21,6,1,1,0,6.04,0.29,LOW,5.2,10.8
6,1,0,1,0,6.12,0.06,LOW,2.0,8.2
8,5,1,0,1,1.58,0.66,MEDIUM,15.5,5.0
16,1,0,1,1,1.24,0.35,HIGH,16.2,2.8
10,1,0,1,1,6.96,0.12,MEDIUM,14.3,16.2
6,2,0,0,0,6.78,0.15,LOW,6.4,10.6
23,0,0,1,0,5.61,0.45,LOW,7.2,9.8
13,4,0,1,0,5.04,0.14,LOW,2.6,8.8
18,1,0,0,1,3.25,0.17,MEDIUM,14.7,7.9
3,1,0,1,0,2.18,0.22,LOW,2.3,5.0
5,1,0,0,0,5.51,0.44,LOW,3.6,9.2
9,0,0,0,1,7.35,0.37,MEDIUM,11.3,16.9
6,5,1,1,0,3.78,0.36,LOW,4.0,4.8
12,6,1,1,0,2.77,0.55,LOW,4.5,6.5
13,6,1,0,0,2.53,0.25,LOW,4.0,3.2
3,3,0,1,0,0.68,0.02,MEDIUM,1.4,1.0
7,2,0,1,1,4.4,0.3,HIGH,15.7,10.4
4,0,0,1,0,7.91,0.31,LOW,4.7,13.9
0,5,1,1,0,6.61,0.37,LOW,6.9,11.5
3,1,0,1,0,7.23,0.43,LOW,6.2,12.5
2,5,1,0,0,5.16,0.05,LOW,5.8,6.2
8,0,0,0,1,4.11,0.39,HIGH,13.2,8.5
7,0,0,1,1,7.93,0.15,HIGH,15.5,19.9
0,0,0,1,0,3.85,0.15,LOW,6.9,7.9
5,3,0,1,0,7.38,0.38,LOW,7.0,14.0
8,4,0,1,1,6.21,0.42,HIGH,19.6,18.3
6,2,0,0,0,2.98,0.38,LOW,9.5,4.9
3,3,0,0,0,4.27,0.45,LOW,3.9,5.6
12,3,0,0,0,3.38,0.23,LOW,1.1,5.8
16,4,0,1,1,1.52,0.17,HIGH,16.7,6.0
1,3,0,1,0,3.18,0.33,LOW,5.1,5.6
4,0,0,1,0,7.17,0.12,LOW,1.9,7.7
11,0,0,1,0,6.14,0.38,LOW,5.8,10.0
20,5,1,1,0,2.58,0.13,LOW,3.4,4.0
7,1,0,0,1,3.26,0.18,HIGH,12.6,7.8
5,3,0,0,0,5.12,0.28,LOW,6.0,6.2
7,1,0,0,1,3.62,0.45,LOW,15.3,8.9
17,2,0,0,1,4.27,0.21,HIGH,13.6,8.0
2,6,1,1,0,5.74,0.45,LOW,0.6,10.5
21,0,0,1,0,4.0,0.46,LOW,7.3,7.7
11,5,1,1,0,1.93,0.04,LOW,1.2,2.4
2,2,0,1,0,4.4,0.45,LOW,5.6,8.8
21,5,1,1,0,3.17,0.1,LOW,4.3,6.0
5,6,1,0,0,2.68,0.11,LOW,5.7,4.4
1,6,1,1,0,2.96,0.07,LOW,2.7,4.9
22,4,0,1,0,3.79,0.22,LOW,4.5,6.7
11,0,0,1,0,7.15,0.35,LOW,4.5,14.2
1,2,0,1,0,6.01,0.44,LOW,5.7,9.2
5,4,0,1,0,5.51,0.34,LOW,4.7,9.8
16,6,1,1,1,4.03,0.32,HIGH,18.4,11.3
2,2,0,1,0,0.51,0.15,LOW,6.7,0.9
1,5,1,0,0,3.05,0.47,LOW,2.9,6.4
22,4,0,1,0,6.6,0.18,LOW,6.3,9.5
19,4,0,1,1,3.41,0.54,HIGH,20.2,8.3
7,0,0,1,1,4.73,0.53,HIGH,18.9,15.1
21,1,0,0,0,2.04,0.41,LOW,11.7,5.6
11,5,1,1,0,7.37,0.3,LOW,4.3,13.4
3,5,1,0,0,7.42,0.49,LOW,4.7,10.9
4,4,0,0,0,1.6,0.34,LOW,9.9,2.8
12,4,0,0,0,5.93,0.24,LOW,0.9,10.1
14,0,0,1,1,1.06,0.5,MEDIUM,14.9,3.5
22,1,0,1,0,4.99,0.8,LOW,9.4,10.7
15,5,1,1,1,1.84,0.33,MEDIUM,17.5,7.0
9,6,1,1,1,1.59,0.33,HIGH,14.4,4.0
22,3,0,1,0,0.53,0.35,LOW,6.8,1.5
15,3,0,0,1,7.56,0.75,MEDIUM,14.8,23.7
11,1,0,0,0,6.72,0.33,LOW,1.2,10.0
16,2,0,1,1,1.08,0.08,MEDIUM,16.8,4.4
15,0,0,1,1,5.0,0.52,HIGH,20.1,18.2
11,1,0,0,0,2.25,0.12,LOW,1.1,2.5
7,3,0,1,1,2.48,0.07,HIGH,12.5,4.1
19,4,0,1,1,7.06,0.38,HIGH,12.2,13.2
2,3,0,1,0,1.36,0.15,LOW,3.7,2.3
15,4,0,0,1,5.01,0.23,MEDIUM,11.4,10.0
12,0,0,1,0,3.51,0.07,LOW,2.2,6.5
22,4,0,0,0,1.93,0.55,LOW,8.4,3.1
18,1,0,1,1,3.89,0.11,HIGH,14.7,10.0
7,4,0,1,1,7.55,0.12,HIGH,13.0,15.9
21,2,0,1,0,6.36,0.24,LOW,4.2,11.4
4,1,0,1,0,1.49,0.09,LOW,4.1,1.7
19,0,0,1,1,6.87,0.43,MEDIUM,15.3,25.4
7,1,0,1,1,7.53,0.29,HIGH,14.3,19.8
23,2,0,0,0,2.58,0.22,LOW,6.3,2.0
11,0,0,1,0,3.0,0.06,LOW,0.1,4.2
0,3,0,0,0,1.45,0.19,LOW,2.2,1.6
20,2,0,0,0,3.09,0.22,LOW,2.6,5.5
19,0,0,0,1,5.55,0.43,MEDIUM,13.3,11.9
5,6,1,0,0,2.54,0.12,LOW,4.8,4.6
21,4,0,1,0,0.55,0.36,MEDIUM,5.7,0.5
17,1,0,1,1,3.04,0.22,MEDIUM,16.3,7.3
7,0,0,0,1,3.9,0.13,HIGH,15.8,8.8
6,1,0,0,0,4.75,0.38,LOW,4.6,7.3
0,4,0,0,0,5.63,0.25,LOW,1.3,9.2
20,0,0,1,0,0.96,0.06,MEDIUM,4.4,3.1
15,3,0,1,1,4.02,0.23,MEDIUM,16.2,13.6
11,6,1,1,0,2.5,0.18,LOW,3.8,4.2
5,6,1,0,0,7.61,0.08,LOW,2.7,10.8
19,2,0,1,1,3.2,0.44,MEDIUM,18.3,8.8
1,0,0,1,0,1.25,0.48,LOW,8.7,2.1
13,4,0,1,0,0.81,0.21,LOW,7.3,0.5
3,0,0,1,0,2.49,0.11,LOW,7.9,2.8
0,1,0,1,0,1.84,0.34,MEDIUM,6.5,4.4
22,5,1,0,0,5.37,0.28,LOW,7.6,7.5
17,0,0,0,1,6.85,0.08,MEDIUM,12.7,12.3
12,6,1,1,0,2.84,0.32,LOW,4.1,5.6
1,6,1,1,0,4.83,0.53,LOW,9.9,8.3
8,6,1,0,1,5.98,0.16,MEDIUM,11.1,16.1
20,3,0,1,0,3.49,0.24,LOW,3.8,4.3
1,0,0,0,0,1.0,0.5,LOW,7.1,0.5
8,2,0,1,1,2.22,0.25,HIGH,16.7,4.6
0,0,0,1,0,7.12,0.18,LOW,1.9,10.1
10,5,1,1,1,6.68,0.27,MEDIUM,19.1,27.7
2,6,1,0,0,1.15,0.39,LOW,4.4,3.8
19,1,0,1,1,2.18,0.23,HIGH,18.8,5.1
22,6,1,1,0,6.27,0.63,LOW,6.9,8.0
3,0,0,1,0,4.14,0.19,LOW,4.2,6.1
17,3,0,1,1,6.2,0.15,HIGH,15.0,16.5
22,4,0,1,0,2.08,0.4,LOW,6.6,3.7
5,0,0,1,0,7.65,0.16,LOW,2.9,14.4
2,0,0,1,0,6.38,0.19,LOW,10.5,10.2
21,2,0,1,0,1.98,0.25,LOW,6.6,3.4
10,3,0,1,1,4.69,0.45,HIGH,19.9,13.1
14,5,1,1,1,1.35,0.32,MEDIUM,14.6,2.2
21,4,0,1,0,3.21,0.27,LOW,6.4,4.5
4,6,1,1,0,5.45,0.24,LOW,5.3,10.2
19,1,0,1,1,2.98,0.43,HIGH,16.4,5.3
9,0,0,1,1,5.43,0.53,HIGH,22.4,15.2
11,5,1,1,0,2.34,0.49,LOW,3.5,3.0
14,4,0,1,1,5.91,0.21,HIGH,14.6,13.9
16,1,0,1,1,3.2,0.56,HIGH,18.3,13.0
9,5,1,1,1,6.43,0.17,MEDIUM,19.0,15.7
5,3,0,1,0,1.53,0.19,LOW,3.2,1.9
17,3,0,0,1,3.21,0.35,HIGH,10.9,7.0
12,4,0,0,0,3.98,0.16,LOW,2.7,6.1
2,6,1,1,0,3.68,0.22,LOW,3.1,7.2
23,1,0,1,0,3.75,0.53,LOW,6.6,2.9
9,3,0,0,1,3.84,0.44,HIGH,12.4,7.9
13,4,0,0,0,7.92,0.2,LOW,3.1,12.5
5,3,0,1,0,1.95,0.45,LOW,5.4,2.9
2,3,0,1,0,6.26,0.33,LOW,2.3,10.6
15,5,1,1,1,4.64,0.06,HIGH,17.3,12.4
6,5,1,1,0,3.6,0.17,LOW,3.6,4.2
19,3,0,1,1,5.25,0.21,HIGH,14.9,14.6
13,2,0,1,0,6.9,0.33,LOW,5.5,12.1
8,5,1,0,1,4.0,0.56,HIGH,15.1,9.5
14,1,0,1,1,6.99,0.31,HIGH,16.2,18.5
20,4,0,1,0,1.2,0.43,LOW,4.4,2.4
2,4,0,1,0,5.4,0.35,LOW,5.6,9.6
1,6,1,1,0,3.0,0.32,LOW,1.4,6.0
1,1,0,1,0,3.4,0.33,LOW,5.2,5.8
2,1,0,1,0,4.78,0.39,LOW,5.0,8.8
17,1,0,1,1,4.1,0.08,HIGH,17.1,11.6
13,6,1,1,0,3.36,0.26,LOW,5.4,4.6
19,1,0,0,1,2.81,0.41,MEDIUM,14.6,6.1
17,0,0,1,1,5.14,0.19,HIGH,13.5,11.6
9,6,1,1,1,4.29,0.39,HIGH,20.7,13.3
1,4,0,1,0,2.92,0.67,LOW,7.8,5.0
21,0,0,1,0,2.04,0.14,LOW,0.9,2.4
0,6,1,1,0,6.31,0.1,LOW,1.0,10.4
3,3,0,1,0,6.5,0.05,LOW,3.3,11.7
13,3,0,1,0,2.1,0.49,LOW,4.9,4.2
0,4,0,1,0,2.46,0.25,MEDIUM,7.5,5.4
13,3,0,0,0,2.29,0.31,LOW,6.1,2.0
15,1,0,1,1,7.13,0.46,HIGH,17.4,17.4
21,6,1,1,0,6.31,0.43,LOW,4.0,12.3
13,0,0,1,0,1.06,0.17,LOW,2.4,0.8
19,1,0,0,1,6.74,0.59,HIGH,13.2,15.6
2,3,0,1,0,0.78,0.34,MEDIUM,3.6,1.1
2,5,1,1,0,2.4,0.51,LOW,3.5,1.2
8,0,0,0,1,7.39,0.32,HIGH,12.0,18.5
5,1,0,1,0,6.98,0.23,LOW,7.7,9.9
12,6,1,1,0,6.36,0.18,LOW,3.7,10.8
20,4,0,1,0,3.93,0.28,LOW,3.6,7.8
1,1,0,0,0,2.91,0.08,LOW,3.1,3.4
7,5,1,0,1,7.11,0.36,MEDIUM,12.6,15.5
20,3,0,0,0,5.43,0.34,LOW,5.6,6.0
1,0,0,0,0,2.72,0.3,LOW,6.6,3.7
3,4,0,0,0,3.97,0.43,LOW,4.2,5.8
14,0,0,1,1,7.11,0.48,HIGH,16.8,21.4
3,4,0,0,0,7.28,0.42,LOW,3.3,10.3
12,6,1,1,0,5.44,0.09,LOW,5.6,8.5
11,0,0,1,0,5.99,0.28,LOW,8.2,9.7
12,3,0,1,0,0.79,0.64,LOW,6.7,2.4
13,6,1,1,0,5.03,0.13,LOW,5.1,7.7
19,6,1,0,1,5.67,0.31,LOW,13.3,11.9
17,4,0,1,1,0.65,0.37,HIGH,15.9,1.5
5,2,0,1,0,6.83,0.29,LOW,3.8,11.3
10,0,0,1,1,7.46,0.24,MEDIUM,16.7,18.8
1,0,0,0,0,2.28,0.21,LOW,5.8,2.9
22,1,0,1,0,6.84,0.5,LOW,4.9,12.1
18,4,0,1,1,5.49,0.46,HIGH,21.7,17.0
18,5,1,1,1,4.86,0.39,MEDIUM,15.7,17.5
4,2,0,1,0,6.82,0.14,LOW,3.2,10.2
18,3,0,1,1,2.64,0.16,HIGH,16.9,7.4
1,1,0,1,0,6.43,0.2,LOW,1.4,11.0
9,2,0,0,1,2.86,0.52,HIGH,12.7,6.9
1,4,0,1,0,6.41,0.14,LOW,3.1,8.6
10,2,0,1,1,3.88,0.28,HIGH,17.2,12.5
17,6,1,1,1,1.38,0.1,HIGH,19.3,3.8
23,0,0,1,0,3.36,0.11,LOW,3.8,5.6
14,6,1,1,1,2.25,0.34,MEDIUM,16.5,7.9
8,0,0,1,1,1.25,0.29,HIGH,17.5,4.3
22,1,0,1,0,1.33,0.14,LOW,4.8,1.1
18,4,0,0,1,6.35,0.21,LOW,11.8,11.6
8,4,0,1,1,7.11,0.26,HIGH,17.7,17.5
2,2,0,1,0,7.45,0.05,LOW,3.8,11.2
20,1,0,1,0,6.9,0.42,LOW,4.6,12.8
8,4,0,1,1,6.73,0.16,HIGH,15.3,20.1
13,5,1,1,0,1.02,0.26,LOW,5.8,0.5
18,5,1,1,1,6.43,0.13,MEDIUM,17.6,14.5
6,6,1,0,0,6.37,0.39,LOW,3.3,9.3
15,0,0,1,1,1.48,0.05,HIGH,16.8,4.0
15,2,0,1,1,5.47,0.15,HIGH,17.0,13.3
0,3,0,0,0,3.89,0.19,LOW,2.9,5.9
3,0,0,1,0,7.25,0.34,LOW,8.0,11.4
3,1,0,0,0,5.72,0.33,LOW,7.6,8.0
6,4,0,1,0,7.63,0.22,LOW,3.7,14.0
7,0,0,1,1,1.29,0.37,HIGH,16.1,3.2
16,3,0,1,1,0.8,0.27,HIGH,16.0,2.3
4,3,0,0,0,7.8,0.14,LOW,3.9,7.9
6,5,1,0,0,1.1,0.66,LOW,3.9,0.5
19,1,0,1,1,3.4,0.37,HIGH,15.8,12.0
19,0,0,1,1,5.37,0.25,HIGH,16.8,13.7
3,2,0,1,0,7.1,0.05,MEDIUM,5.4,11.0
5,0,0,1,0,2.41,0.29,LOW,3.1,3.4
6,5,1,1,0,0.72,0.55,LOW,3.9,0.5
17,6,1,1,1,4.41,0.35,MEDIUM,17.2,9.1
4,3,0,1,0,4.03,0.39,LOW,3.8,5.8
19,1,0,1,1,2.8,0.43,HIGH,18.6,7.7
2,1,0,1,0,7.05,0.27,LOW,4.4,13.4
6,2,0,0,0,6.12,0.38,LOW,3.5,9.5
21,1,0,0,0,6.94,0.21,LOW,4.3,7.6
13,5,1,1,0,1.71,0.18,LOW,6.7,2.7
6,5,1,0,0,5.69,0.1,LOW,1.5,10.0
4,5,1,1,0,7.81,0.56,LOW,6.8,13.3
21,1,0,0,0,5.09,0.22,LOW,3.1,7.9
4,1,0,1,0,1.79,0.48,LOW,5.2,4.0
22,5,1,1,0,7.97,0.16,LOW,3.0,12.9
1,1,0,0,0,4.46,0.34,LOW,2.4,5.9
20,1,0,1,0,6.8,0.2,LOW,6.5,10.4
21,3,0,0,0,1.62,0.28,LOW,6.5,0.8
5,0,0,0,0,5.5,0.24,LOW,0.9,7.3
14,4,0,0,1,7.34,0.22,HIGH,11.3,19.3
20,1,0,1,0,4.49,0.36,MEDIUM,4.6,4.9
9,4,0,1,1,2.66,0.07,HIGH,18.1,3.9
22,6,1,1,0,1.46,0.28,LOW,1.4,3.1
23,4,0,0,0,2.72,0.27,LOW,5.5,1.7
6,3,0,1,0,3.16,0.2,LOW,2.2,4.1
4,1,0,1,0,5.82,0.24,LOW,6.4,9.9
0,5,1,1,0,1.84,0.2,LOW,4.9,1.9
12,4,0,1,0,1.3,0.29,LOW,2.9,1.9
20,1,0,1,0,3.4,0.38,LOW,4.4,5.9
17,2,0,1,1,3.94,0.18,HIGH,16.1,11.7
12,6,1,0,0,5.21,0.18,LOW,1.2,8.2
20,5,1,1,0,5.81,0.36,LOW,7.2,9.7
20,2,0,0,0,7.17,0.7,LOW,5.3,11.9
17,2,0,1,1,2.67,0.24,HIGH,16.4,6.0
4,4,0,1,0,4.46,0.35,LOW,4.1,8.5
12,2,0,1,0,3.25,0.24,LOW,2.6,4.4
3,3,0,1,0,0.51,0.13,LOW,2.8,0.5
16,3,0,1,1,4.85,0.07,HIGH,16.8,13.2
2,4,0,0,0,6.62,0.24,LOW,2.5,11.2
16,1,0,1,1,0.77,0.25,HIGH,15.5,2.3
10,0,0,1,1,0.53,0.55,MEDIUM,21.6,2.3
20,1,0,1,0,5.96,0.41,LOW,3.9,10.2
19,1,0,0,1,5.63,0.56,MEDIUM,14.5,15.0
22,1,0,1,0,3.54,0.12,LOW,5.0,5.6
20,1,0,1,0,5.46,0.38,LOW,5.5,10.9
3,5,1,1,0,7.65,0.2,LOW,0.4,13.8
1,0,0,0,0,2.36,0.36,LOW,5.9,4.3
19,5,1,1,1,2.34,0.34,HIGH,15.5,5.6
15,2,0,1,1,1.9,0.26,HIGH,17.4,3.7
